who,what,isCopy2,pub,pubnum,year,discogs_url
Various,Appetizers,0,Warner Brothers,,,https://www.discogs.com/Various-Appetizers/release/7236735
The Eleventh House with Larry Coryell ,Introducing,0,Vanguard,VSD79342,,https://www.discogs.com/The-Eleventh-House-With-Larry-Coryell-Introducing-The-Eleventh-House/master/39735
Various ,Ktel 20 Explosive Original Hits,0,,TU220,,https://www.discogs.com/Various-20-Explosive-Hits/master/553366
Various ,Midnight Hustle,0,TeeVee Records,,,https://www.discogs.com/Various-Midnight-Hustle/master/1268286
Cat Stevens ,Mona Bone Jakon,1,,SP4260,,https://www.discogs.com/Cat-Stevens-Mona-Bone-Jakon/release/10926349
T Rex,Electric Warrior,0,Reprise,6466,,http://discogs.com//T-Rex-Electric-Warrior/release/7476138
Chick Corea ,Before Forever,0,Quintessence,,,http://discogs.com//Chick-Corea-Before-Forever/release/2481476
John Coltrane ,Coltrane,0,Prestige,OJC-020 P-7105,,http://discogs.com//John-Coltrane-Coltrane/release/780422
The Sunshine Terrace Swing Band ,Swing Disco,0,Pickwick,SPC3674,,http://discogs.com//The-Sunshine-Terrace-Swing-Band-Swing-Disco/release/2081192
The Pop Singers and Orchestra,Themes from Hit TV Shows vol2,0,Peter Pan,,,https://www.discogs.com/The-Pop-Singers-And-Orchestra-Themes-From-Hit-TV-Shows-Vol-2/release/1392366
Rhythm Devils ,The Apocalypse Now Sessons,0,,PB 9844,,http://discogs.com//Rhythm-Devils-The-Apocalypse-Now-Sessions/release/1760887
BB King ,The Best Of,0,MCA Records,,,
Various ,Rock Explosion,0,Majestic,TA347,,http://discogs.com//Various-Rock-Explosion/release/5904610
Rites of Spring ,Rites of Spring,0,Dischord,,,http://discogs.com//Rites-Of-Spring-Rites-Of-Spring/release/437153
Pia Beck ,The Best of Pia Beck,0,,,,http://discogs.com//Pia-Beck-The-Best-Of-Pia-BeckPia-Beck-Trio/release/8375220
The Mills Brothers ,Great Hits,0,Dot Records,,,http://discogs.com//The-Mills-Brothers-Great-Hits/release/1961813
The Dave Brubeck Quartet ,Time Out,0,Coronet,,,http://discogs.com//The-Dave-Brubeck-Quartet-Time-Out/release/10872127
Cannonball Adderley ,The Best Of,0,Capitol,,,http://discogs.com//Cannonball-Adderley-Quintet-The-Best-Of-Cannonball-Adderley/release/1052006
Van Morrison ,Moondance,0,,BSK3103,,http://discogs.com//Van-Morrison-Moondance/release/3854461
Roy Orbison ,Golden Hits,0,,BBS1015,,http://discogs.com//Roy-Orbison-Roy-Orbisons-Golden-Hits/release/6074860
Various ,20 Fantastic Hits by the Original Artists,0,Arcade Records,,,http://discogs.com//Various-20-Fantastic-Hits-By-The-Original-Artists/release/1955039
Charles Mingus ,Charlie Mingus,0,Amiga Jazz,,,http://discogs.com//Charlie-Mingus-Charlie-Mingus/release/1525105
Various ,Ktel Stars,0,K-Tel,TU 2530,1977,https://www.discogs.com/Various-Stars/release/3027213
7 Seconds ,Walk Together Rock Together,0,,,,http://discogs.com//7-Seconds-Walk-Together-Rock-Together/release/3433902
ABBA ,ABBA,0,,,,http://discogs.com//ABBA-ABBA/release/11686750
Acting Trio ,Actuel 14,0,,,,http://discogs.com//Acting-Trio-Acting-Trio/release/516112
Ahmad Jamal ,Happy Moods,0,,,,http://discogs.com//Ahmad-Jamal-Happy-Moods/release/11919563
Alice Coltrane n Carlos Santana ,Illuminations,0,,,,http://discogs.com//Devadip-Carlos-Santana-Turiya-Alice-Coltrane-Illuminations/release/2008102
Anita Bryant ,Mine Eyes Have Seen the Glory,0,,,,http://discogs.com//Anita-Bryant-Mine-Eyes-Have-Seen-The-Glory/release/3901725
Arlo Guthrie ,Washington County,0,,,,http://discogs.com//Arlo-Guthrie-Washington-County/release/10408033
Ary Cordovil ,The Voice of Ary Cordovil Brazil Now,0,,,,http://discogs.com//Ary-Cordovil-The-Voice-Of-Ary-Cordovil-Brazil-Now/release/7535461
Asleep at the Wheel ,Collision Course,0,,SW-11726,,http://discogs.com//Asleep-At-The-Wheel-Collision-Course/release/6871813
Astrud Gilberto ,Look to the Rainbow,0,,V/V-6-8643,,http://discogs.com//Astrud-Gilberto-Look-To-The-Rainbow/release/2516964
A Taste of Honey ,A Taste of Honey,0,,,,http://discogs.com//A-Taste-Of-Honey-A-Taste-Of-Honey/release/509748
Bach ,Magnificat in D and Cantata no 51,0,Nonesuch,H-71011,,http://discogs.com//J-S-Bach-Magnificat-In-D-Cantata-No-51/release/2485892
Bartok Fritz Reiner ,Concerto for Orchestra,0,,,,http://discogs.com//Bart%C3%B3k-Fritz-Reiner-Chicago-Symphony-Concerto-For-Orchestra/release/2044399
BB King ,Easy Listening Blues,0,United Records and Tapes,7705,,http://discogs.com//BB-King-Easy-Listening-Blues/release/4840307
Bennie Maupin ,Slow Traffic to the Right,0,,,,http://discogs.com//Bennie-Maupin-Slow-Traffic-To-The-Right/release/1051596
Benny Goodman ,Meeting at the Summit,0,,,,http://discogs.com//Benny-Goodman-Meeting-At-The-Summit/release/4709779
Bernstein ,Shostakovich 5th Symphony,0,,,,http://discogs.com//Shostakovich-Leonard-BernsteinNew-York-Philharmonic-Orchestra-Shostakovich-5th-Symphony/release/4684395
Bessie Smith ,Any Womans Blues,0,Columbia,G 30126,,http://discogs.com//Bessie-Smith-Any-Womans-Blues/release/10139171
Big Brother and the Holding Company ,Cheap Thrills,0,Columbia,PC 9700,,http://discogs.com//Big-Brother-The-Holding-Company-Cheap-Thrills/release/8318736
Bill Cosby ,Bill Cosby is a Very Funny Fellow Right,0,,,,http://discogs.com//Bill-Cosby-Bill-Cosby-Is-A-Very-Funny-Fellow-Right/release/3253009
